Train ~3922
Dogtooth ~4710
Dance Flick ~1919
Perrier's Bounty ~3486
The Tooth Fairy ~1035
The Big Wedding ~1535
The Last King of Scotland ~3540
3 Backyards ~4719
The Mothman Prophecies ~1154
Griff the Invisible ~4067
The Flintstones ~1064
15 Minutes ~1158
In the Land of Women ~3029
The Princess Bride ~2611
Snow Angels ~4325
Emma             ~3583
My Fellow Americans ~2104
Unforgiven ~2720
Elizabeth: The Golden Age ~872
Logan's Run ~3417
True Romance ~2851
16 Blocks ~1106
Detention ~3226
Sling Blade ~3751
Sydney White ~2503
Anna and the King ~547
Everyone Says I Love You ~2263
Mulan ~358
Iron Man 3 ~32
The Spiderwick Chronicles ~342
Unnatural ~4068
Once Upon a Time in Queens ~4345
Snow White and the Seven Dwarfs ~4352
American Graffiti ~4566
The Royal Tenenbaums ~1746
Moms' Night Out ~3782
Creature             ~4032
Bang Bang Baby ~4521
The 5th Wave ~1354
The Exploding Girl ~4878
Modern Problems ~3312
The Andromeda Strain ~3497
Glory Road ~1627
Iguana ~4057
The Haunting of Molly Hartley ~3672
Date Movie ~2156
Darling Lili ~2090
Man on Fire ~738
The Shipping News ~1472
Monty Python and the Holy Grail ~4681
Son of the Mask ~315
Thor ~130
Gremlins 2: The New Batch ~973
Hop ~700
Pineapple Express ~1821
One Man's Hero ~2438
Travelers and Magicians ~4274
Get Smart ~444
The Amazing Catfish ~4390
For a Good Time, Call... ~4545
Made in Dagenham ~3343
Copying Beethoven ~3017
102 Dalmatians ~400
How to Lose a Guy in 10 Days ~929
The Lion of Judah ~4381
What Just Happened ~1812
Dawn of the Dead ~1743
Brick Lane ~4107
Penguins of Madagascar ~181
Halloween II ~2606
Gridiron Gang ~1649
Once in a Lifetime: The Extraordinary Story of the New York Cosmos ~4481
The Messenger ~3506
Memoirs of an Invisible Man ~1286
The Grand Budapest Hotel ~1563
Morning Glory ~1259
Northfork ~4252
Juwanna Mann ~2557
Lake Placid ~1794
Wing Commander ~1684
Swelter ~3365
Bait ~1467
A Tale of Three Cities ~2971
Windsor Drive ~4550
U2 3D ~2646
The Good Heart ~3901
Faith Connections ~4613
The Call ~2844
Pocahontas ~830
Exorcist: The Beginning ~526
Stolen ~1501
Harper ~3915
Don't Say a Word ~956
Life or Something Like It ~1285
Bullet to the Head ~885
Pink Ribbons, Inc. ~4402
Cadillac Records ~2928
Freedom Writers ~2114
Freaky Friday ~1816
A Monster in Paris ~1314
10th & Wolf ~3359
The World Is Mine ~4806
Inside Man ~937
Paranormal Activity ~4679
Flushed Away ~143
The Marine 4: Moving Target ~4253
S.W.A.T. ~585
The Indian in the Cupboard ~1098
Insidious: Chapter 2 ~3628
The Missing             ~677
Daddy's Home ~935
Trapped             ~1694
The Evil Dead ~4699
Freeze Frame ~4227
Good Intentions ~3198
The Best Exotic Marigold Hotel ~3055
Creepshow 2 ~3911
Knock Off ~1477
The Spectacular Now ~4110
Boomerang ~1148
The Great Raid ~802
The Conformist ~4573
Woo ~2819
She Wore a Yellow Ribbon ~4295
Flying By ~3736
Baby's Day Out ~1011
G.I. Jane ~965
National Treasure ~297
The Relic ~774
The Stewardesses ~4775
Switchback ~1348
The Edge ~484
The Waterboy ~2030
Lovely, Still ~3723
Sphinx ~3145
Here on Earth ~2659
Cirque du Soleil: Worlds Away ~1983
The Red Violin ~3123
The Second Best Exotic Marigold Hotel ~3087
Fiza ~4468
Down for Life ~3895
The Client ~1071
The Addams Family ~1580
Win a Date with Tad Hamilton! ~2016
The Funeral ~2862
South Park: Bigger Longer & Uncut ~2109
Held Up ~3333
Eraserhead ~4833
Men in Black 3 ~19
Outside Bet ~3390
Jurassic World ~29
The 13th Warrior ~212
My Cousin Vinny ~2980
The Spy Who Loved Me ~2732
The Hateful Eight ~698
Rachel Getting Married ~2919
The Benchwarmers ~1421
Falcon Rising ~3801
Thr3e ~4125
We Were Soldiers ~591
The Roommate ~2521
Teacher's Pet ~3122
The Quiet American ~2249
The Texas Chain Saw Massacre ~3222
Alex Cross ~1447
Love Happens ~2396
American Hero ~4549
This Is England ~4128
The Last Shot ~1315
Poetic Justice ~2740
Dallas Buyers Club ~3645
Chuck & Buck ~4741
Young Sherlock Holmes ~2397
The Abyss ~599
Barfi ~3764
The Holiday ~402
The Baader Meinhof Complex ~2326
Hannibal             ~398
Stoker ~2944
Harry Potter and the Sorcerer's Stone ~200
The Haunted Mansion ~370
Flyboys ~788
Burn ~4773
Blue Crush ~1634
The Ridiculous 6 ~812
Shark Night 3D ~1951
Dickie Roberts: Former Child Star ~2470
Extremely Loud & Incredibly Close ~1258
Sky Captain and the World of Tomorrow ~619
Jonah: A VeggieTales Movie ~2739
Star Wars: The Clone Wars             ~3272
The Lost Weekend ~4378
Zoom ~1481
Riding Giants ~4088
20,000 Leagues Under the Sea ~3642
Milk ~2185
Mrs Henderson Presents ~2257
World Trade Center ~660
Home Fries ~2658
A Guy Named Joe ~4082
Incident at Loch Ness ~4355
The Helix... Loaded ~4499
Gravity ~243
My Big Fat Greek Wedding 2 ~2375
50 First Dates ~524
The Rite ~1379
Star Trek: First Contact ~1058
Independence Day: Resurgence ~92
Nothing to Lose ~1890
Breakfast of Champions ~2956
Tidal Wave ~2576
Remember the Titans ~1576
Cheaper by the Dozen ~1183
The Revenant ~178
Copycat ~2182
A Nightmare on Elm Street 4: The Dream Master ~2793
Stir of Echoes ~2903
Shutter Island ~446
Predator 2 ~1442
The Five-Year Engagement ~1664
The Magic Flute ~1814
Star Trek Into Darkness ~48
Army of Darkness ~3005
Girl with a Pearl Earring ~2921
Ed and His Dead Mother ~4273
Alias Betty ~3388
Breaking Upwards ~4897
28 Days ~1138
The Color Purple ~2575
Groundhog Day ~2715
Firefox ~2108
Palo Alto ~4474
Circle ~4222
Two Weeks Notice ~717
2046 ~2945
The Tigger Movie ~2162
Illuminata ~3159
Une Femme Mariée ~4828
Ghost World ~3606
The In Crowd ~2678
Straight Out of Brooklyn ~4666
Wanted ~521
Mystery Men ~630
The Talented Mr. Ripley ~1196
Code 46 ~3389
3 Men and a Baby ~2566
Pacific Rim ~52
Red Sky ~1997
RocknRolla ~2422
The Bourne Legacy ~213
