Steven Spielberg,$4313.1
Michael Bay,$2196.3
Peter Jackson,$2134.7
Robert Zemeckis,$2091.9
James Cameron,$1974.3
Ron Howard,$1896.0
Tim Burton,$1840.2
Christopher Nolan,$1816.5
Clint Eastwood,$1816.0
Chris Columbus,$1750.3
George Lucas,$1743.9
J.J. Abrams,$1684.2
David Yates,$1631.6
Ridley Scott,$1561.7
Gore Verbinski,$1529.4
Sam Raimi,$1526.7
Francis Lawrence,$1434.6
Jon Favreau,$1334.5
Lee Unkrich,$1331.6
Roland Emmerich,$1292.2
M. Night Shyamalan,$1233.2
Chris Renaud,$1202.0
Bill Condon,$1199.7
Andrew Stanton,$1164.0
Andrew Adamson,$1154.7
Bryan Singer,$1142.2
Richard Donner,$1139.1
Brett Ratner,$1130.8
Shawn Levy,$1130.3
Joss Whedon,$1112.2
Ivan Reitman,$1099.6
Dennis Dugan,$1096.7
Jay Roach,$1095.4
Tony Scott,$1092.6
Zack Snyder,$1090.6
Barry Sonnenfeld,$1078.3
Steven Soderbergh,$1039.3
Todd Phillips,$1038.1
John Lasseter,$1036.0
Martin Scorsese,$1027.9
Garry Marshall,$1023.4
Carlos Saldanha,$971.7
Joel Schumacher,$963.0
Pierre Coffin,$955.6
Conrad Vernon,$953.7
Pete Docter,$939.4
Jon Turteltaub,$907.4
Tom Shadyac,$892.7
Tom McGrath,$875.4
Rob Minkoff,$867.2
David Fincher,$865.2
Justin Lin,$845.9
Sam Mendes,$834.0
Mike Mitchell,$829.7
Tyler Perry,$816.7
James Wan,$813.6
Barry Levinson,$812.7
Joe Johnston,$811.2
Peter Segal,$804.2
Raja Gosnell,$803.0
Brad Bird,$793.9
The Farrelly Bros.,$792.0
Tim Story,$781.9
James Mangold,$779.5
Wolfgang Petersen,$775.1
Sydney Pollack,$774.5
Oliver Stone,$766.0
Eric Darnell,$764.1
Anthony Russo,$743.8
Joe Russo,$743.8
Paul Greengrass,$740.6
Gareth Edwards,$733.0
Mike Nichols,$722.5
Lilly & Lana Wachowski,$714.6
Phil Lord,$712.8
Chris Miller (II),$712.8
Robert Rodriguez,$706.4
Stephen Sommers,$706.3
Adam Shankman,$697.5
F. Gary Gray,$695.5
Martin Campbell,$679.8
Peter Berg,$678.2
Rob Reiner,$676.9
John Landis,$672.0
Colin Trevorrow,$656.3
Adam McKay,$650.8
Quentin Tarantino,$649.2
Kelly Asbury,$647.9
Rob Cohen,$638.4
Brian De Palma,$636.1
Chris Buck,$630.7
Antoine Fuqua,$627.5
Sylvester Stallone,$626.3
Nancy Meyers,$625.6
Rob Marshall,$616.9
John McTiernan,$610.4
Alfonso Cuaron,$609.5
George Miller,$603.5
Andy Tennant,$598.0
Woody Allen,$590.0
Gary Ross,$589.7
Mel Gibson,$589.2
Paul Feig,$584.5
Mike Newell,$581.8
Wes Craven,$579.5
Frank Coraci,$575.0
Michael Apted,$574.9
Frank Oz,$574.2
Joel Coen,$573.7
Andrew Davis,$571.8
David Zucker,$571.5
Jan DeBont,$568.6
Phillip Noyce,$567.2
Betty Thomas,$563.3
Chris Sanders,$550.5
Ang Lee,$548.3
Dean DeBlois,$540.4
Kenneth Branagh,$535.4
Rich Moore,$530.7
Lasse Hallstrom,$530.4
Renny Harlin,$526.7
John Woo,$526.4
Edward Zwick,$524.3
Michael Mann,$524.1
David Silverman,$523.9
David O. Russell,$521.8
Doug Liman,$519.4
Nora Ephron,$515.0
Marc Forster,$514.3
Marc Webb,$508.0
Steve Carr,$507.4
Simon West,$497.3
William Friedkin,$495.3
David Ayer,$492.2
Louis Leterrier,$490.3
Judd Apatow,$487.8
Jerry Zucker,$487.4
Peyton Reed,$485.3
Rob Letterman,$482.1
Guy Ritchie,$481.8
McG,$480.5
Mark S. Waters,$475.9
Chris Weitz,$474.1
Robert Schwentke,$473.5
Chris Miller,$472.0
