:113
Anthony Silverston:1156
Julien Temple:1161
Tom McCarthy:910
Hugh Wilson:632
Saul Dibb:774
Michael Spierig:923
Geoffrey Sax:585
Kevin Tenney:1907
Mike van Diem:1684
Stephen Daldry:564
Leonard Farlinger:1674
François Ozon:1456
Oren Moverman:1536
David Wain:669
Michael Burke:2153
Xavier Beauvois:1637
Christian Ditter:610
Sacha Bennett:1485
Dan Curtis:1131
Richard Kwietniowski:1354
Baz Luhrmann:35
Fred Schepisi:1252
Dean Wright:1300
Susan Seidelman:1833
Fred Walton:1622
Michael Radford:739
Marc Webb:17
Bronwen Hughes:1195
Alan Rudolph:1263
Ken Annakin:1305
Dexter Fletcher:816
Robinson Devor:2322
Jim Sonzero:897
Rusty Cundieff:1547
Jehane Noujaim:1949
Nicholas Ray:1035
Steve Carr:288
Tom Brady:1348
Mike Judge:1230
Bryan Barber:1119
Randall Wallace:297
Michel Leclerc:1675
Steve James:1458
John Madden:397
Bart Freundlich:1000
David Koepp:387
Chris Roberts:731
William Bindley:1080
Kabir Sadanand:1693
Cameron Crowe:296
Jimmy Hayward:405
Courtney Solomon:1003
Chatrichalerm Yukol:1407
Kirk Loudon:2372
Lars von Trier:1165
C. Fraser Press:2313
Sharon Greytak:2315
Hunter Richards:1925
Lance Rivera:1066
Tina Gordon Chism:1134
Darren Aronofsky:121
Clay Kaytis:286
Wych Kaosayananda:305
Mariette Monpierre:2143
Tim McCanlies:703
Jamel Debbouze:540
Hironobu Sakaguchi:109
Thomas Vinterberg:1470
Andrew Douglas:989
Paul Mazursky:1211
Gus Van Sant:525
James Cameron:0
Jonathan Wacks:1961
Nat Faxon:1608
Robert Rossen:1897
John Simpson:1930
James Mottern:2001
Barry Cook:257
Mike Barker:971
James Bridges:823
Nima Nourizadeh:1232
Amat Escalante:2111
Måns Mårlind:302
Oren Peli:1655
Neil Mcenery-West:1889
Katt Shea:892
Greg Marcks:1570
Sue Corcoran:2234
Peter Weir:110
Peter DeLuise:1694
Darren Grant:1582
Elaine May:574
Scott Frank:780
Mennan Yapo:908
Giuliano Montaldo:1290
Tom Sanchez:2043
Lucrecia Martel:2014
Bruce McDonald:2000
Michael McCullers:694
Gavin O'Connor:729
Vic Armstrong:991
Chris Stokes:1439
Todd Lincoln:1046
Harley Cokeliss:1347
Steven E. de Souza:629
William Wyler:1884
Richard Dutcher:2084
Stuart Gordon:1249
Timothy Woodward Jr.:2010
Jamal Hill:1953
Howard Hawks:1793
Jack Smight:1045
Tom Putnam:2296
Joel Zwick:502
Kaige Chen:741
Nimród Antal:554
Roger Nygard:2244
Gerard Johnstone:2003
Lee Daniels:599
Jake Kasdan:561
Harry F. Millarde:2339
Jugal Hansraj:1920
Dan Harris:1362
Sanaa Hamri:771
Peter Webber:467
Terry Gilliam:255
Jack Conway:1898
Joel Paul Reisig:2223
Peter Billingsley:348
Yimou Zhang:187
Matt Dillon:1024
Ted Kotcheff:488
Leslie H. Martinson:2020
Steve Taylor:2039
George Jackson:1609
Georg Wilhelm Pabst:2150
Jeff Garlin:1993
Shana Feste:932
Jason Bateman:1337
George Clooney:299
Gavin Hood:81
Mark Christopher:1206
Jack Perez:2270
Shona Auerbach:1673
Antonia Bird:1253
Bobby Farrelly:307
Simeon Rice:1992
Craig Gillespie:317
Mark L. Lester:1114
David Robert Mitchell:1892
Elizabeth Allen Rosenbaum:1105
Jason Alexander:1816
Kiyoshi Kurosawa:2389
George Miller:83
Steve Boyum:740
Alexander Payne:690
Norman Jewison:596
Seth MacFarlane:314
Matt Bettinelli-Olpin:1498
Justin Molotnikov:2149
John Landis:459
John Hamburg:528
Marcos Siega:839
Dwight H. Little:807
Simon Curtis:1281
Jean-Marie Poiré:583
Walter Lang:1680
Mimi Leder:237
Richard Donner:105
Mikael Salomon:306
Babar Ahmed:2262
Stefan Ruzowitzky:1153
Michael Polish:1200
Victor Fleming:1738
Jim Amatulli:1657
David Lean:767
Joe Carnahan:796
Bob Odenkirk:1355
Stanley Kubrick:328
Lisanne Pajot:2345
Sergio Leone:737
Giuseppe Tornatore:844
Steven Seagal:463
Frank Sebastiano:1844
Malcolm D. Lee:579
Scott Ziehl:2179
Taylor Hackford:332
Jonathan Jakubowicz:975
Christopher Nolan:3
Cathy Malkasian:799
Phil Alden Robinson:311
Susanne Bier:1070
John Crowley:1277
Bruce Macdonald:1737
Myles Berkowitz:2353
Wade Gasque:2357
Carl Franklin:462
Christian E. Christiansen:1056
Neema Barnette:2203
John Eng:800
Brandon Cronenberg:1783
Ash Brannon:188
Marc F. Adler:584
Kenneth Lonergan:1185
Hong-jin Na:1406
Daniel Myrick:2176
Scott Stewart:378
Risa Bramon Garcia:1550
Roger Michell:498
Fernando Meirelles:787
Adrienne Shelly:1984
Frank Perry:1612
Clark Johnson:295
Alex Gibney:2094
Benh Zeitlin:1956
Shekar:1672
Nathan Greno:7
Yuefeng Song:595
Cody Cameron:264
Claudia Llosa:1471
William Eubank:2367
Gérard Krawczyk:1082
Matthew R. Anderson:2058
Christian Duguay:565
Zach Braff:1557
Michael Taliferro:2124
Brian Caunter:1830
Alex Zamm:1510
Rodman Flender:1139
Nnegest Likké:1794
Bob Clark:950
Greg Harrison:2200
Peter Kosminsky:1061
Robert Wise:618
Jean-Pierre Jeunet:365
Genndy Tartakovsky:217
Rohan Sippy:1598
Noah Buschel:1923
Ira Sachs:1258
Jirí Menzel:1664
Jane Campion:1251
Eldar Rapaport:1770
Robert Adetuyi:1377
J.J. Abrams:34
Stephen Hillenburg:687
Ryan Fleck:2165
Jessy Terrero:1073
Léa Pool:1297
Christopher Guest:1250
Jeff Franklin:1713
David Frankel:345
Nathan Frankowski:1774
Blair Erickson:2133
Charles Ferguson:1765
J.B. Rogers:684
Paul Gross:958
Anna Boden:1457
Whit Stillman:1810
Frederik Du Chau:568
Eric Lartigau:1301
Sergey Bondarchuk:850
Michael Winterbottom:790
Duke Johnson:1455
Valentine:2334
Antonio Simoncini:1768
Angelo Pizzo:964
Brendan Malloy:1278
Ken Loach:1432
Nick Hamm:733
Gregor Jordan:1013
Floria Sigismondi:1397
Rob Schmidt:1321
John Frankenheimer:407
Sylvester Stallone:234
Chia-Liang Liu:1894
Peter Hedges:556
Mikael Håfström:310
Don Mancini:756
Neill Dela Llana:2394
Kevin Bray:398
Gaspar Noé:1076
Maïwenn:1419
James Fargo:1182
Ron Maxwell:415
Jack Sholder:1786
Livingston Oden:2306
Asghar Farhadi:2148
Stuart Hazeldine:2282
Paul Fierlinger:2252
John Hoffman:1026
Richard Glatzer:1615
Kevin Brodie:1504
Eli Roth:1480
Molly Bernstein:2205
Hal Haberman:2108
Albert Hughes:242
Ice Cube:1614
Darnell Martin:1247
Guillaume Canet:808
Michael Meredith:1369
Stewart Hendler:1219
Jan de Bont:156
Marco Schnabel:341
Rick de Oliveira:1712
Robert Schwentke:127
Rob Pritts:1276
Olatunde Osunsanmi:1317
Leon Ford:1835
John Schlesinger:828
Lucio Fulci:2238
Jérôme Deschamps:847
John Waters:1204
Vincente Minnelli:1745
Patrick Hughes:181
Travis Cluff:2338
John Pasquin:368
James Nunn:1475
Roman Polanski:335
Jim Gillespie:419
Mark Pellington:532
Christine Jeffs:1625
Andrea Arnold:1809
Ken Kwapis:547
Joseph Mazzella:2381
Sam Peckinpah:1563
Michael Lehmann:333
Tyler Perry:795
Anne Fontaine:870
Martin McDonagh:1133
Stig Bergqvist:688
Pece Dingo:2266
Bob Rafelson:784
Leonard Nimoy:853
Gia Coppola:2088
Alan Metter:1366
Kyle Balda:285
Joel Anderson:2060
Grant Heslov:857
