Karen Gillan,$360.9
Franka Potente,$360.0
Adam Brody,$359.7
Adam DeVine,$359.4
Noomi Rapace,$359.2
Gena Rowlands,$358.2
Rashida Jones,$357.9
Cara Delevigne,$357.1
Alicia Silverstone,$354.0
Madonna,$349.3
Jesse Plemons,$349.1
Olivia Thirlby,$348.9
Jon Heder,$348.1
Eugenio Derbez,$341.6
Hayden Panettiere,$338.4
Lake Bell,$338.1
Sally Hawkins,$336.7
Jonathan Rhys Meyers,$335.9
Jennifer Love Hewitt,$333.6
Robin Wright,$332.6
Linda Hamilton,$331.2
Emmy Rossum,$331.2
Jorma Taccone,$330.8
Miley Cyrus,$321.9
Carey Mulligan,$320.0
Nia Vardalos,$317.9
Bella Thorne,$315.2
Brenton Thwaites,$314.8
Jamie Harris,$314.4
Warren Beatty,$312.2
Christine Taylor,$307.9
Matthew Goode,$305.9
Michael Nyqvist,$303.6
Thomas Mann,$303.2
Dane DeHaan,$301.7
Mathieu Amalric,$300.7
Sharon Leal,$297.3
Amber Heard,$290.1
Rory Culkin,$289.9
Jeffrey Dean Morgan,$289.6
Alicia Vikander,$287.9
Ben Barnes,$287.7
Vanessa Hudgens,$287.5
Sofia Boutella,$287.1
Boris Kodjoe,$286.4
David Duchovny,$285.6
Abbie Cornish,$284.9
Zach Braff,$281.7
Boyd Holbrook,$281.4
Snoop Dogg,$281.4
Chuck Norris,$279.7
Alexa Davalos,$278.7
AnnaSophia Robb,$272.7
Michael B. Jordan,$272.6
Saoirse Ronan,$270.3
Chris Brown,$268.7
Jack O'Connell,$266.7
Leighton Meester,$264.0
Mireille Enos,$263.3
Whitney Houston,$261.6
50 Cent,$259.7
Alex Pettyfer,$259.4
Kaley Cuoco,$258.4
Michelle Trachtenberg,$254.2
Quvenzhane Wallis,$253.1
Rutger Hauer,$246.2
Melanie Laurent,$245.8
Rihanna,$242.8
Kristofer Hivju,$242.4
Dana Carvey,$241.6
Mo'Nique,$240.6
Bow Wow,$240.6
Emily Browning,$238.9
Julianne Hough,$236.7
Elizabeth Debicki,$234.9
Max Thieriot,$233.5
Frankie Muniz,$233.0
Jim Sturgess,$232.8
Peter Berg,$229.8
Jessica Lucas,$229.3
John Cena,$228.5
Chris Messina,$221.2
Damon Wayans,$217.4
Adrianne Palicki,$210.4
Brooklyn Decker,$209.6
Thomas Jane,$208.5
Kevin Smith,$207.7
Brandon Routh,$203.1
Matthew Perry,$200.9
Erika Christensen,$200.2
Josh Radnor,$718k
Morgan Spurlock,$638k
Mike Nichols,$215k
