Tony Gilroy,$202.8
Josh Gordon,$201.1
Will Speck,$201.1
Jake Kasdan,$200.6
Timur Bekmambetov,$200.4
William Nicholson,$785k
Ethan Hawke,$775k
Azazel Jacobs,$756k
Jacob Aaron Estes,$668k
Sebastián Silva,$656k
David Chase,$611k
Madonna,$606k
Ned Benson,$588k
Shane Salerno,$584k
James Keach,$581k
Natalie Portman,$572k
Alan Rickman,$558k
Ewan McGregor,$544k
Josh Radnor,$543k
Philip Seymour Hoffman,$542k
Joe Swanberg,$521k
Hossein Amini,$507k
Bobcat Goldthwait,$475k
Roman Coppola,$460k
Casey Affleck,$409k
Steve Conrad,$409k
Alex Ross Perry,$402k
David Duchovny,$389k
Spencer Susser,$383k
Ti West,$348k
Michael Keaton,$348k
John Ridley,$346k
Josh Sternfeld,$319k
Jeremy Brock,$240k
Robert D. Siegel,$235k
Guillermo Arriaga,$233k
Dan Harris,$229k
Mike Myers,$213k
Ed Solomon,$210k
Jamie Linden,$203k
